distrito_cod;setor_cod;quadra_cod;lote_cod;unidade_cod;matricula;area_construida_unid;area_edicula;utilizacao;tipo;alinhamento;posicao;estrutura;cobertura;paredes;conservacao;isencao_iptu;isencao_taxas;valor_venal_informado;valor_venal_2020;;inst_sanitaria;inst_eletrica
1;1;1;304;1;;74,88;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;93.358,61;;INT.SIMPL.;EMBUTIDA
1;1;1;314;1;;144,06;0;Residencial;CASA;FRENTE;ISOLADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;164.959,89;;INT.SIMPL.;EMBUTIDA
1;1;1;328;1;;133,38;0;Residencial;CASA;FRENTE;ISOLADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;247.163,12;;+1 INTERNA;EMBUTIDA
1;1;1;343;1;;270,67;0;Residencial;CASA;FRENTE;ISOLADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;446.289,75;;+1 INTERNA;EMBUTIDA
1;1;1;358;1;;115;0;Residencial;CASA;FRENTE;ISOLADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;209.257,03;;+1 INTERNA;EMBUTIDA
1;1;1;372;1;;53,29;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;46.938,97;;INT.COMPL.;EMBUTIDA
1;1;1;392;1;;84,47;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;42.177,04;;INT.SIMPL.;EMBUTIDA
1;1;2;281;27;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;13.086,70;;INT.SIMPL.;EMBUTIDA
1;1;2;259;2;;15;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;41.686,65;;INT.SIMPL.;EMBUTIDA
1;1;2;259;3;;15;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;41.686,65;;INT.SIMPL.;EMBUTIDA
1;1;2;259;4;;15;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;41.686,65;;INT.SIMPL.;EMBUTIDA
1;1;2;259;5;;15;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;41.686,65;;INT.SIMPL.;EMBUTIDA
1;1;2;259;6;;15;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;41.686,65;;INT.SIMPL.;EMBUTIDA
1;1;2;281;1;;34,85;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;48.252,97;;INT.SIMPL.;EMBUTIDA
1;1;2;281;2;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;24.424,42;;INT.SIMPL.;EMBUTIDA
1;1;2;281;3;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;23.321,73;;INT.SIMPL.;EMBUTIDA
1;1;2;281;4;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;24.424,42;;INT.SIMPL.;EMBUTIDA
1;1;2;281;5;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;24.424,42;;INT.SIMPL.;EMBUTIDA
1;1;2;281;6;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;24.424,42;;INT.SIMPL.;EMBUTIDA
1;1;2;281;7;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;24.424,42;;INT.SIMPL.;EMBUTIDA
1;1;2;281;8;;40,6;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;53.407,53;;INT.SIMPL.;EMBUTIDA
1;1;2;281;9;;40,8;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;53.672,80;;INT.SIMPL.;EMBUTIDA
1;1;2;281;10;;61,19;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;80.494,53;;INT.SIMPL.;EMBUTIDA
1;1;2;281;11;;88,26;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;116.103,51;;INT.SIMPL.;EMBUTIDA
1;1;2;281;12;;40,32;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;53.041,76;;INT.SIMPL.;EMBUTIDA
1;1;2;281;13;;40,32;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;53.041,76;;INT.SIMPL.;EMBUTIDA
1;1;2;281;14;;40,86;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;53.749,57;;INT.SIMPL.;EMBUTIDA
1;1;2;281;15;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;23.206,47;;INT.SIMPL.;EMBUTIDA
1;1;2;281;16;;17,43;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;22.929,33;;INT.SIMPL.;EMBUTIDA
1;1;2;281;17;;17,45;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;22.953,05;;INT.SIMPL.;EMBUTIDA
1;1;2;281;18;;17,7;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;23.283,25;;INT.SIMPL.;EMBUTIDA
1;1;2;281;19;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;23.206,47;;INT.SIMPL.;EMBUTIDA
1;1;2;281;20;;17,64;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;23.206,47;;INT.SIMPL.;EMBUTIDA
1;1;2;281;21;;32,23;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;42.396,96;;INT.SIMPL.;EMBUTIDA
1;1;2;281;22;;31,43;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;41.347,08;;INT.SIMPL.;EMBUTIDA
1;1;2;281;23;;37,62;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;49.485,79;;INT.SIMPL.;EMBUTIDA
1;1;2;281;24;;16,75;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;22.033,01;;INT.SIMPL.;EMBUTIDA
1;1;2;281;25;;84,75;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;111.485,80;;INT.SIMPL.;EMBUTIDA
1;1;2;281;26;;61,35;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;80.706,76;;INT.SIMPL.;EMBUTIDA
1;1;2;281;28;;269,18;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;354.101,67;;INT.SIMPL.;EMBUTIDA
1;1;2;281;31;;203,03;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Tributável;Tributável;;267.078,82;;INT.SIMPL.;EMBUTIDA
1;1;2;281;32;;15;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Isento;Isento;;31.172,26;;INT.SIMPL.;EMBUTIDA
1;1;2;281;33;;15;0;Comercial;LOJA;FRENTE;GEMINADA;ALVENARIA;TELHA FIBR;CHOÇA/BARRACO;;Isento;Isento;;31.172,26;;INT.SIMPL.;EMBUTIDA
1;1;2;298;1;;5.181,07;0;Comercial;LOJA;FRENTE;ISOLADA;CONCRETO;ZINCO/PALH;ALVENARIA;;Tributável;Tributável;;4.995.036,58;;+1 INTERNA;EMBUTIDA
1;1;3;144;1;;910,72;0;Prestação de Serviços;ESPECIAL;FRENTE;ISOLADA;CONCRETO;TELHA FIBR;ALVENARIA;;Isento;Isento;;0;;+1 INTERNA;EMBUTIDA
1;1;3;163;1;;225,8;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;236.832,50;;+1 INTERNA;EMBUTIDA
1;1;3;163;2;;229,31;0;Residencial;CASA;FRENTE;ISOLADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;244.687,12;;INT.SIMPL.;EMBUTIDA
1;1;3;163;3;;67,17;0;Comercial;LOJA;FRENTE;CONJUGADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;57.888,61;;INT.SIMPL.;EMBUTIDA
1;1;3;163;4;;69,58;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;53.485,85;;INT.SIMPL.;EMBUTIDA
1;1;3;183;1;;302;0;Residencial;CASA;FRENTE;ISOLADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;577.056,46;;+1 INTERNA;EMBUTIDA
1;1;3;243;1;;301,18;0;Comercial;LOJA;FRENTE;CONJUGADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;471.617,94;;+1 INTERNA;EMBUTIDA
1;1;4;61;1;;1.028,88;0;Serv. Público;ESPECIAL;FRENTE;ISOLADA;CONCRETO;TELHA FIBR;ALVENARIA;;Isento;Isento;;198.484,00;;+1 INTERNA;EMBUTIDA
1;1;4;87;1;;183;0;Comercial;LOJA;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;120.416,44;;INT.SIMPL.;EMBUTIDA
1;1;4;87;2;;233;0;Comercial;LOJA;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;153.316,56;;INT.SIMPL.;EMBUTIDA
1;1;4;87;3;;221;0;Comercial;LOJA;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;145.422,25;;INT.SIMPL.;EMBUTIDA
1;1;4;87;4;;182;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;155.728,42;;+1 INTERNA;EMBUTIDA
1;1;4;87;5;;180;0;Residencial;APARTAMENTO;FRENTE;CONJUGADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;170.470,52;;+1 INTERNA;EMBUTIDA
1;1;4;87;6;;186;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;176.154,66;;+1 INTERNA;EMBUTIDA
1;1;4;87;7;;188;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;178.047,58;;+1 INTERNA;EMBUTIDA
1;1;4;87;8;;182;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;172.366,13;;+1 INTERNA;EMBUTIDA
1;1;4;87;9;;180;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;170.470,52;;+1 INTERNA;EMBUTIDA
1;1;4;87;10;;186;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;176.154,66;;+1 INTERNA;EMBUTIDA
1;1;4;87;11;;188;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;178.047,58;;+1 INTERNA;EMBUTIDA
1;1;4;87;12;;182;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;172.366,13;;+1 INTERNA;EMBUTIDA
1;1;4;87;13;;180;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;170.470,52;;+1 INTERNA;EMBUTIDA
1;1;4;87;14;;186;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;176.154,66;;+1 INTERNA;EMBUTIDA
1;1;4;87;15;;188;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;178.047,58;;+1 INTERNA;EMBUTIDA
1;1;4;87;16;;182;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;172.366,13;;+1 INTERNA;EMBUTIDA
1;1;4;87;17;;180;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;170.470,52;;+1 INTERNA;EMBUTIDA
1;1;4;87;18;;186;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;176.154,66;;+1 INTERNA;EMBUTIDA
1;1;4;87;19;;188;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;160.861,37;;+1 INTERNA;EMBUTIDA
1;1;4;87;20;;182;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;172.366,13;;+1 INTERNA;EMBUTIDA
1;1;4;87;21;;180;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;170.470,52;;+1 INTERNA;EMBUTIDA
1;1;4;87;22;;186;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;176.154,66;;+1 INTERNA;EMBUTIDA
1;1;4;87;23;;188;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;178.047,58;;+1 INTERNA;EMBUTIDA
1;1;4;87;24;;182;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;172.366,13;;+1 INTERNA;EMBUTIDA
1;1;4;87;25;;180;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;170.470,52;;+1 INTERNA;EMBUTIDA
1;1;4;87;26;;186;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;176.154,66;;+1 INTERNA;EMBUTIDA
1;1;4;87;27;;188;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;178.047,58;;+1 INTERNA;EMBUTIDA
1;1;4;87;28;;182;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;172.366,13;;+1 INTERNA;EMBUTIDA
1;1;4;87;29;;180;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;170.470,52;;+1 INTERNA;EMBUTIDA
1;1;4;87;30;;186;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;176.154,66;;+1 INTERNA;EMBUTIDA
1;1;4;87;31;;188;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;178.047,58;;+1 INTERNA;EMBUTIDA
1;1;4;87;32;;182;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;172.366,13;;+1 INTERNA;EMBUTIDA
1;1;4;87;33;;180;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;170.470,52;;+1 INTERNA;EMBUTIDA
1;1;4;87;34;;186;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;176.154,66;;+1 INTERNA;EMBUTIDA
1;1;4;87;35;;188;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;178.047,58;;+1 INTERNA;EMBUTIDA
1;1;4;87;36;;361;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;341.890,18;;+1 INTERNA;EMBUTIDA
1;1;4;87;37;;362;0;Residencial;APARTAMENTO;FRENTE;GEMINADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;342.836,64;;+1 INTERNA;EMBUTIDA
1;1;4;107;1;;214,67;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;167.292,51;;+1 INTERNA;EMBUTIDA
1;1;4;112;1;;87,13;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;68.279,30;;INT.SIMPL.;EMBUTIDA
1;1;4;118;1;;82;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;67.860,32;;INT.SIMPL.;EMBUTIDA
1;1;4;141;1;;223,31;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;124.324,35;;+1 INTERNA;EMBUTIDA
1;1;4;223;1;;0;0;Terreno Vago;CASA;FRENTE;ISOLADA;;;;;Tributável;Tributável;;132.799,86;;;
1;1;6;23;1;;251,46;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;212.698,53;;+1 INTERNA;EMBUTIDA
1;1;6;23;2;;195,72;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;154.066,29;;+1 INTERNA;EMBUTIDA
1;1;6;35;1;;102,93;0;Residencial;CASA;FRENTE;ISOLADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;163.001,11;;INT.COMPL.;EMBUTIDA
1;1;6;37;1;;119,48;0;Residencial;CASA;FUNDOS;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;94.096,85;;+1 INTERNA;EMBUTIDA
1;1;6;47;1;;132,98;0;Residencial;CASA;FRENTE;CONJUGADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;129.732,87;;+1 INTERNA;EMBUTIDA
1;1;6;84;1;;167,94;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;316.843,83;;INT.COMPL.;EMBUTIDA
1;1;6;84;2;;46,67;0;Residencial;CASA;FUNDOS;GEMINADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;82.571,22;;INT.SIMPL.;EMBUTIDA
1;1;6;92;1;;106,26;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Isento;Isento;;86.455,23;;+1 INTERNA;EMBUTIDA
1;1;6;113;1;;74,12;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;48.703,94;;INT.COMPL.;EMBUTIDA
1;1;6;113;2;;63,24;0;Comercial;LOJA;FUNDOS;GEMINADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;55.826,52;;INT.SIMPL.;EMBUTIDA
1;1;6;113;4;;60,02;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;42.860,08;;INT.SIMPL.;EMBUTIDA
1;1;6;113;5;;113,34;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;74.476,32;;INT.SIMPL.;EMBUTIDA
1;1;6;124;1;;252,02;0;Hotelaria;ESPECIAL;FRENTE;CONJUGADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;263.159,61;;+1 INTERNA;EMBUTIDA
1;1;6;145;1;;1.009,00;0;Comercial;ESPECIAL;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;789.745,19;;+1 INTERNA;EMBUTIDA
1;1;6;155;1;;32,64;0;Comercial;LOJA;FRENTE;GEMINADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;38.521,08;;INT.SIMPL.;EMBUTIDA
1;1;6;155;2;;164,47;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;169.136,40;;+1 INTERNA;EMBUTIDA
1;1;6;155;3;;63,46;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;68.986,32;;INT.COMPL.;EMBUTIDA
1;1;6;221;1;;1.035,90;0;Comercial;ESPECIAL;FRENTE;ISOLADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;1.222.061,58;;+1 INTERNA;EMBUTIDA
1;1;6;234;1;;230,17;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;249.587,79;;+1 INTERNA;EMBUTIDA
1;1;6;243;1;;72;0;Residencial;CASA;FRENTE;ISOLADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;240.311,16;;INT.SIMPL.;EMBUTIDA
1;1;6;264;1;;232,26;0;Prestação de Serviços;TELHEIRO;FRENTE;CONJUGADA;CONCRETO;ZINCO/PALH;CHOÇA/BARRACO;;Tributável;Tributável;;276.461,43;;INEXISTE;APARENTE
1;1;6;311;1;;177,48;0;Residencial;CASA;FRENTE;CONJUGADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;137.758,92;;+1 INTERNA;EMBUTIDA
1;1;6;311;2;;89,04;0;Comercial;LOJA;FRENTE;CONJUGADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;104.129,40;;INT.SIMPL.;EMBUTIDA
1;1;6;325;1;;131,87;0;Residencial;CASA;FRENTE;CONJUGADA;MADEIRA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;225.421,55;;INT.COMPL.;EMBUTIDA
1;1;7;18;1;;90,74;0;Residencial;CASA;FRENTE;CONJUGADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;31.566,61;;INT.SIMPL.;EMBUTIDA
1;1;7;36;1;;29,9;0;Comercial;LOJA;FRENTE;GEMINADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;19.440,72;;INT.SIMPL.;EMBUTIDA
1;1;7;36;2;;68,4;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;34.089,41;;INT.SIMPL.;EMBUTIDA
1;1;7;36;3;;108,24;0;Comercial;LOJA;FRENTE;ISOLADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;70.378,54;;INT.SIMPL.;EMBUTIDA
1;1;7;55;1;;141,89;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;126.917,99;;INT.SIMPL.;EMBUTIDA
1;1;7;84;1;;112,38;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;LAJE;ALVENARIA;;Tributável;Tributável;;77.246,28;;INT.SIMPL.;EMBUTIDA
